,Tweets,Name,SA,top_words,top_probs
10,Opinion: Trump blows hot air in Helsinki: Political Cartoons https://t.co/EUE5wzYXDn,sbsun,1,"['http', 'opinion', 'trump', 'helsinki', 'blow', 'cartoon', 'hot', 'euewzyxdn', 'polit', 'air']","[0.072214395, 0.07060933, 0.07024914, 0.06956248, 0.055212095, 0.055212095, 0.055212095, 0.055212095, 0.055212095, 0.055212095]"
11,@LouDobbs @JudgeJeanine @realDonaldTrump The Democrats Are giving Putin what he wants.Democrats are dividing this c… https://t.co/a9N7WjRgbY,Jenw59166869,1,"['realdonaldtrump', 'http', 'democrat', 'judgejeanin', 'divid', 'want', 'putin', 'rtjxasobi', 'trump', 'train']","[0.09173893, 0.09173893, 0.09173893, 0.046097673, 0.046097673, 0.046097673, 0.046097673, 0.046097673, 0.046097673, 0.046097673]"
12,@ananavarro He’s both why do you keep asking about compromise It was on CNN 2 years ago manafort and some olegart t… https://t.co/9VW9apwJIu,SheilaDGibson2,0,"['http', 'trump', 'putin', 'ago', 'vwapwjiu', 'ask', 'protect', 'ananavarro', 'he’', 'cnn']","[0.05302031, 0.05302031, 0.02664205, 0.02664205, 0.02664205, 0.026642047, 0.026642047, 0.026642047, 0.026642047, 0.026642047]"
13,@GayRepublicSwag Correct! First of all they have no message except Russia Russia Russia Stormy Daniels Stormy Danie… https://t.co/dpSxsEKXDe,levitz77,1,"['russia', 'stormi', 'trump', 'correct', 'narscist', 'question', 'secretari', 'titl', 'god', 'like']","[0.08154971, 0.054456785, 0.054456785, 0.027363861, 0.027363861, 0.027363857, 0.027363857, 0.027363857, 0.027363857, 0.027363857]"
14,@davidhogg111 They are looking at 55 millions traceable to NRA = Russians = Trump Campaign Manafort They have 5 mill tagged to McConnell,_dlh52,0,"['trump', 'http', 'know', 'davidhogg', 'mdmbqrqhm', 'speakerryan', 'maddow', 'flotu', 'inittowinit', 'realdonaldtrump']","[0.07182057, 0.04795992, 0.04795992, 0.024099266, 0.024099266, 0.024099266, 0.024099266, 0.024099266, 0.024099264, 0.024099264]"
15,@RepJayapal It could have only been a more grade school apology if Trump had been required to stand with his nose in the corner.,The_Real_PGS,1,"['http', 'trump', 'que', 'acepta', 'la', 'interfirió', 'presidencial', 'new', 'mundo', 'rectifica']","[0.04795992, 0.04795992, 0.024099266, 0.024099266, 0.024099266, 0.024099264, 0.024099264, 0.024099264, 0.024099264, 0.024099264]"
16,Olive garden for trump supporters,yunglillian_,0,"['support', 'oliv', 'garden', 'trump', 'busi', 'youtub', 'fighter', 'hhkiynuz', 'ye', 'took']","[0.10191725, 0.10191725, 0.10191725, 0.10191725, 0.0010090817, 0.0010090817, 0.0010090817, 0.0010090817, 0.0010090817, 0.0010090817]"
17,Except if America had real journalist they would report that Trump was saying No to answering questions — what a bu… https://t.co/lgyz0PwcUs,rlgordon18_ruth,1,"['http', 'trump', 'putin', 'journalist', 'pfzzwquz', 'real', 'sai', 'report', 'stomach', 'peopl']","[0.07364888, 0.035431024, 0.030274922, 0.024312349, 0.024312349, 0.024312349, 0.024312345, 0.024312345, 0.024312345, 0.024312345]"
18,@Lawrenc26878616 @cameron_kasky Trump,Staceyryn,0,"['trump', 'resist', 'cameron', 'dxhdnslrpg', 'fellow', 'believ', 'hei', 'actual', 'kaski', 'question']","[0.08406525, 0.042241745, 0.042241745, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174]"
19,@The_Trump_Train @realDonaldTrump Traitor train,lostinabss,0,"['train', 'traitor', 'realdonaldtrump', 'trump', 'took', 'ye', 'busi', 'fighter', 'youtub', 'invit']","[0.18423465, 0.09257562, 0.09257562, 0.09257562, 0.0009165902, 0.0009165902, 0.0009165902, 0.0009165902, 0.0009165902, 0.0009165902]"
20,@AnnieMendelsohn @cameron_kasky Trump Readily Allies (Incomprehensibly) with Tyrannical Overlord and Russia. #Unhinged @realDonaldTrump,Staceyryn,1,"['http', 'trump', 'swipe', 'american', 'goprussia…', 'amp', 'impeach', 'support', 'kaski', 'gpvjjtedrj']","[0.06521787, 0.063823245, 0.01646507, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066]"
21,If someone has to interpret or say this is what he meant Is this some secret language if Trump can’t communicate th… https://t.co/qiOUjKSF66,SheilaDGibson2,-1,"['trump', 'http', 'jaketapp', 'state', 'deep', 'devast', 'fear', 'gtuyeehfq', 'problem', 'lindseygrahamsc']","[0.08732623, 0.051068265, 0.034798026, 0.034798026, 0.034798022, 0.034798022, 0.034798022, 0.034798022, 0.034798022, 0.034798022]"
22,RT @warrior7147: @ShepNewsTeam Do you work CNN or Fox.... you continuously come across as being against Trump!,NJN5353,0,"['trump', 'work', 'adpgerp', 'talk', 'nice', 'kelli', 'john', 'is…', 'asham', 'cnn']","[0.080690496, 0.08069049, 0.040545978, 0.04054597, 0.04054597, 0.04054597, 0.04054597, 0.04054597, 0.04054597, 0.04054597]"
23,@ShepNewsTeam Do you work CNN or Fox.... you continuously come across as being against Trump!,warrior7147,0,"['continu', 'come', 'trump', 'shepnewsteam', 'fox', 'work', 'cnn', 'youtub', 'fighter', 'oregonjob']","[0.078233935, 0.078233935, 0.078233935, 0.078233935, 0.078233935, 0.078233935, 0.078233935, 0.0007745934, 0.0007745934, 0.0007745934]"
24,@StarnesDouglas @HeavyMAGA @Shastina_Eloff insult our allies and cozy up to dictators. Research is how it’s done no… https://t.co/D3WKioN2sx,TroyInskeep,-1,"['http', 'japan', 'cozi', 'heavymaga', 'it’', 'apolog', 'harbor”', 'shastina', 'insult', 'pearl…']","[0.063770294, 0.050508395, 0.025379842, 0.025379842, 0.025379842, 0.025379842, 0.025379842, 0.02537984, 0.02537984, 0.02537984]"
25,"@realDonaldTrump No one can come close to what President Trump has accomplished for just a short period of time, mo… https://t.co/NcElHu0q3o",cesyuvie,1,"['http', 'trump', 'presid', 'period', 'realdonaldtrump', 'mo…', 'ncelhuqo', 'accomplish', 'short', 'come']","[0.0695407, 0.05485741, 0.052530352, 0.0385037, 0.0385037, 0.0385037, 0.0385037, 0.0385037, 0.0385037, 0.0385037]"
26,Sarah just said Trump was saying 'No' to answering questions! Oh Myyyyyyy God! Help us! Her title should be W.H. Lie Secretary!,Teach1006,0,"['russia', 'stormi', 'trump', 'correct', 'narscist', 'question', 'secretari', 'titl', 'god', 'like']","[0.08154971, 0.054456785, 0.054456785, 0.027363861, 0.027363861, 0.027363857, 0.027363857, 0.027363857, 0.027363857, 0.027363857]"
27,@JohnBrennan Impeach Trump,mca05,0,"['trump', 'johnbrennan', 'impeach', 'invit', 'took', 'youtub', 'fighter', 'hhkiynuz', 'ye', 'obama']","[0.11335579, 0.11335578, 0.11335578, 0.0011223345, 0.0011223345, 0.0011223345, 0.0011223345, 0.0011223345, 0.0011223345, 0.0011223345]"
28,@LindseyGrahamSC @jaketapper And your letting this happen! TRUMP IS THE PROBLEM.,kellyke24601413,0,"['trump', 'http', 'jaketapp', 'state', 'deep', 'devast', 'fear', 'gtuyeehfq', 'problem', 'lindseygrahamsc']","[0.08732623, 0.051068265, 0.034798026, 0.034798026, 0.034798022, 0.034798022, 0.034798022, 0.034798022, 0.034798022, 0.034798022]"
29,"RT @Teach1006: I would like to know how many people on twitter are getting migraines and knots in their stomachs, everytime Trump tells a l…",RudyHorra,1,"['migrain', 'like', 'trump', 'tell', 'teach', 'stomach', 'peopl', 'knot', 'twitter', 'get']","[0.05361973, 0.051812187, 0.04998866, 0.048927747, 0.046230078, 0.04603703, 0.045949504, 0.04348044, 0.04097629, 0.039765246]"
30,"RT @Teach1006: I would like to know how many people on twitter are getting migraines and knots in their stomachs, everytime Trump tells a l…",Jimoday1,1,"['migrain', 'like', 'trump', 'tell', 'teach', 'stomach', 'peopl', 'knot', 'twitter', 'get']","[0.05361973, 0.051812187, 0.04998866, 0.048927747, 0.046230078, 0.04603703, 0.045949504, 0.04348044, 0.04097629, 0.039765246]"
31,"I would like to know how many people on twitter are getting migraines and knots in their stomachs, everytime Trump… https://t.co/PF0z3ZwquZ",Teach1006,1,"['http', 'trump', 'putin', 'journalist', 'pfzzwquz', 'real', 'sai', 'report', 'stomach', 'peopl']","[0.07364888, 0.035431024, 0.030274922, 0.024312349, 0.024312349, 0.024312349, 0.024312345, 0.024312345, 0.024312345, 0.024312345]"
32,RT @jaasbear: alot of yall so insecure you would get mad at your girl. look at how unbothered he is. when you got someone you know forsure…,brittany_trump,-1,"['yall', 'know', 'mad', 'insecur', 'alot', 'forsure…', 'girl', 'got', 'jaasbear', 'unboth']","[0.059727978, 0.059727978, 0.059727978, 0.05972797, 0.05972797, 0.05972797, 0.05972797, 0.05972797, 0.05972797, 0.05972797]"
33,"@SarahPalinUSA Sad! Narscist!  He may be rich, but he is not a billionaire like Trump. Ha!",MsBabs02,-1,"['russia', 'stormi', 'trump', 'correct', 'narscist', 'question', 'secretari', 'titl', 'god', 'like']","[0.08154971, 0.054456785, 0.054456785, 0.027363861, 0.027363861, 0.027363857, 0.027363857, 0.027363857, 0.027363857, 0.027363857]"
34,@megwagner @KatyTurNBC We already knew Trump would do this. Putin and Trump always repeating the same lies day afte… https://t.co/HIFXNcP4V9,Teach1006,0,"['trump', 'putin', 'http', 'hous', 'mock', 'protect', 'look', 'to…', 'presid', 'peopl']","[0.0877237, 0.07520962, 0.06269554, 0.012639221, 0.012639221, 0.012639221, 0.012639219, 0.012639219, 0.012639219, 0.012639219]"
35,"@EleenaShazali @jenyoduzit Trump economy.  And when you get sick, those who lost Obamacare can always use their Oba… https://t.co/x7x3HjrKfj",IEPrince,-1,"['http', 'trump', 'swipe', 'american', 'goprussia…', 'amp', 'impeach', 'support', 'kaski', 'gpvjjtedrj']","[0.06521787, 0.063823245, 0.01646507, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066]"
36,"@RWPUSA @intelligencer Trump is looking to protect himself and Putin not American! He is still saying today, that P… https://t.co/OPmBLAsydR",Teach1006,0,"['trump', 'putin', 'http', 'hous', 'mock', 'protect', 'look', 'to…', 'presid', 'peopl']","[0.0877237, 0.07520962, 0.06269554, 0.012639221, 0.012639221, 0.012639221, 0.012639219, 0.012639219, 0.012639219, 0.012639219]"
37,"@AidanSansom @inittowinit007 @SpeakerRyan @realDonaldTrump @_America_First @POTUS @FLOTUS Trump has issues, I agree… https://t.co/MDmbQRQ6HM",starrchildddddd,1,"['trump', 'http', 'know', 'davidhogg', 'mdmbqrqhm', 'speakerryan', 'maddow', 'flotu', 'inittowinit', 'realdonaldtrump']","[0.07182057, 0.04795992, 0.04795992, 0.024099266, 0.024099266, 0.024099266, 0.024099266, 0.024099266, 0.024099264, 0.024099264]"
38,@AnnCoulter Trump,kellyke24601413,0,"['trump', 'putin', 'http', 'hous', 'mock', 'protect', 'look', 'to…', 'presid', 'peopl']","[0.0877237, 0.07520962, 0.06269554, 0.012639221, 0.012639221, 0.012639221, 0.012639219, 0.012639219, 0.012639219, 0.012639219]"
39,@JamesHasson20 Second most famous. Have you HEARD trump?!?!,kellyke24601413,1,"['trump', 'heard', 'jameshasson', 'second', 'famou', 'ye', 'took', 'youtub', 'republican', 'hhkiynuz']","[0.09257563, 0.09257562, 0.09257562, 0.09257562, 0.09257562, 0.0009165902, 0.0009165902, 0.0009165902, 0.0009165902, 0.0009165902]"
40,@daveschechter @costareports Someone needs to seriously ask the question: will Melania and Trump let Barron join th… https://t.co/I1CBCxMtDF,labomski,-1,"['http', 'trump', 'be…', 'question', 'icbcxmtdf', 'barron', 'costareport', 'vdjycvpr', 'daveschecht', 'melania']","[0.06502751, 0.065027505, 0.032675516, 0.032675516, 0.032675516, 0.032675512, 0.032675512, 0.032675512, 0.032675512, 0.032675512]"
41,"Not only that, but these people think any brown person could be a terrorist or MS-13. Huge propaganda win by Trump,… https://t.co/fKiiX6Bsxm",labomski,1,"['peopl', 'http', 'propaganda', 'fkiixbsxm', 'think', 'terrorist', 'win', 'trump', 'person', 'huge']","[0.059727978, 0.059727978, 0.05972797, 0.05972797, 0.05972797, 0.05972797, 0.05972797, 0.05972797, 0.05972797, 0.05972797]"
42,"This is very interesting. Trump would have never brought this up, unless he just got done talking about it with Put… https://t.co/41VRjMuFP4",labomski,1,"['vrjmufp', 'trump', 'interest', 'put…', 'talk', 'brought', 'got', 'http', 'fighter', 'ye']","[0.07260964, 0.07260964, 0.07260964, 0.07260964, 0.07260964, 0.07260964, 0.07260964, 0.07260964, 0.0007189073, 0.0007189073]"
43,"@FoxNews is doing everything they can to spin Trump’s Putin-Coddling. They are even lying, saying Rosentein caused… https://t.co/pNjLRgndbJ",labomski,0,"['http', 'trump', 'que', 'acepta', 'la', 'interfirió', 'presidencial', 'new', 'mundo', 'rectifica']","[0.04795992, 0.04795992, 0.024099266, 0.024099266, 0.024099266, 0.024099264, 0.024099264, 0.024099264, 0.024099264, 0.024099264]"
44,Trump: You guys have Trump Derangement syndrome https://t.co/pAzwVRTWAn,jramos1914,0,"['trump', 'http', 'derang', 'pazwvrtwan', 'syndrom', 'gui', 'came', 'letsfaceitcar', 'commentari', 'poppyfield']","[0.10485314, 0.08311539, 0.05268739, 0.05268739, 0.05268739, 0.05268739, 0.036313053, 0.03538825, 0.034374516, 0.03320205]"
45,"George Will calls Trump ‘sad, embarrassing wreck of a man’  https://t.co/t9hwXtOJQg",kellyke24601413,-1,"['http', 'trump', 'don’t', 'stori', 'georg', 'putin', 'said', 'ask', 'unuwnyn', 'spendin…']","[0.081549704, 0.081549704, 0.05445678, 0.027363857, 0.027363857, 0.027363857, 0.027363854, 0.027363854, 0.027363854, 0.027363854]"
46,"RT @sbsun: Putin says he wanted Trump to win in 2016, didn’t interfere https://t.co/mhdUyjlxqV",PhilDeCarolis,1,"['putin', 'interfer', 'win', 'want', 'trump', 'didn’t', 'mhduyjlxqv', 'sbsun', 'http', 'sai']","[0.06348208, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.06348207]"
47,@joncoopertweets @pandaluver365 Everything should be erased they have been planning this since 2005 watch manafort… https://t.co/7hu6DjkYTm,SheilaDGibson2,0,"['manafort…', 'watch', 'eras', 'joncoopertweet', 'pandaluv', 'plan', 'hudjkytm', 'http', 'obama', 'took']","[0.07260965, 0.07260965, 0.07260963, 0.07260963, 0.07260963, 0.07260963, 0.07260963, 0.07260963, 0.0007189073, 0.0007189073]"
48,RT @sbsun: Opinion: A careful reading of what Trump and Putin had to say in Helsinki https://t.co/PsQ6eu7A0J,PhilDeCarolis,-1,"['trump', 'http', 'help', 'nomine', 'iqqynnj', 'vital', 'poetofsci', 'opinion', 'laureldavilacpa', 'dpoc']","[0.0720172, 0.0720172, 0.036187753, 0.03618775, 0.03618775, 0.03618775, 0.03618775, 0.03618775, 0.03618775, 0.03618775]"
49,@abcnews The outrage now to pin anything on Trump 4 years later is ridiculous.,DougTrump16,-1,"['trump', 'news”', '“fake', 'republican', 'word', 'alexwassabi', 'year', 'won’t', 'http', 'protect']","[0.06502751, 0.032675516, 0.032675516, 0.032675516, 0.032675516, 0.032675516, 0.032675512, 0.032675512, 0.032675512, 0.032675512]"
50,@TrustTheEmc2 @FoxNews They always report stuff on trump like this lol just not often but most of the expense is security,holt2ic2,1,"['trump', 'report', 'tire', 'run', 'plate', 'get', 'meabuqhrwx', 'presid', 'like', 'peopl']","[0.085822515, 0.034687348, 0.034687348, 0.034687344, 0.034687344, 0.034687344, 0.034687344, 0.034687344, 0.034687344, 0.034687344]"
51,Nice that you have to get permission from someone to talk.  John Kelly should be ashamed of working for Trump.  Is… https://t.co/4AdPge8r8p,Postalman,1,"['trump', 'work', 'adpgerp', 'talk', 'nice', 'kelli', 'john', 'is…', 'asham', 'cnn']","[0.080690496, 0.08069049, 0.040545978, 0.04054597, 0.04054597, 0.04054597, 0.04054597, 0.04054597, 0.04054597, 0.04054597]"
52,@RepRaskin  hey dude u just said “if we went to Japan and apologized for Pearl Harbor” JAPAN ATTACKED US AT PEARL H… https://t.co/92lQKLIxug,mimsyboo_thea,0,"['japan', 'pearl', 'went', 'lqklixug', 'repraskin', 'said', 'apolog', 'dude', 'http', 'attack']","[0.09612625, 0.09612625, 0.04830225, 0.04830225, 0.048302244, 0.048302244, 0.048302244, 0.048302244, 0.048302244, 0.048302244]"
53,"@Poppyfield1 @LetsFaceItCare @JohnBrennan Okay, I came here to read about SERIOUS commentary...I didn't expect to l… https://t.co/H9XsIEmcV9",adia_uplift,1,"['trump', 'http', 'derang', 'pazwvrtwan', 'syndrom', 'gui', 'came', 'letsfaceitcar', 'commentari', 'poppyfield']","[0.10485314, 0.08311539, 0.05268739, 0.05268739, 0.05268739, 0.05268739, 0.036313053, 0.03538825, 0.034374516, 0.03320205]"
54,@jamie_raskin hey dude u just said “if we went to Japan and apologized for Pearl Harbor” JAPAN ATTACKED US AT PEARL… https://t.co/esXaphAa3o,mimsyboo_thea,0,"['japan', 'pearl', 'went', 'lqklixug', 'repraskin', 'said', 'apolog', 'dude', 'http', 'attack']","[0.09612625, 0.09612625, 0.04830225, 0.04830225, 0.048302244, 0.048302244, 0.048302244, 0.048302244, 0.048302244, 0.048302244]"
55,Impeach tRump! https://t.co/1rfy9Xjm1L,dora_maxey,0,"['trump', 'rfyxjml', 'http', 'impeach', 'took', 'youtub', 'fighter', 'hhkiynuz', 'ye', 'busi']","[0.10191725, 0.10191725, 0.10191725, 0.10191725, 0.0010090817, 0.0010090817, 0.0010090817, 0.0010090817, 0.0010090817, 0.0010090817]"
56,@gihhzel Trump is still our president for two years and we have ppl who hate the environment in charge of the EPA,jusjusL,-1,"['trump', 'environ', 'week', 'charg', 'ppl', 'gihhzel', 'epa', 'kill', 'stock', 'year']","[0.1009543, 0.050728288, 0.050728288, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284]"
57,"RT @sbsun: Putin says he wanted Trump to win in 2016, didn’t interfere https://t.co/mhdUyjlxqV",scout6923592,1,"['putin', 'interfer', 'win', 'want', 'trump', 'didn’t', 'mhduyjlxqv', 'sbsun', 'http', 'sai']","[0.06348208, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.06348207]"
58,"Putin says he wanted Trump to win in 2016, didn’t interfere https://t.co/mhdUyjlxqV",sbsun,1,"['putin', 'interfer', 'win', 'want', 'trump', 'didn’t', 'mhduyjlxqv', 'sbsun', 'http', 'sai']","[0.06348208, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.063482076, 0.06348207]"
59,"Tell SB's Mayor and Council NO WAY!
Trump asks SB to support his Supreme Court nominee  despite lasting implication… https://t.co/mSNDz0KlM4",IEPrince,0,"['http', 'trump', 'mayor', 'despit', 'win', 'hasn’t', 'nomine', 'msndzklm', 'wai', 'last']","[0.07014682, 0.04684223, 0.02353764, 0.02353764, 0.02353764, 0.023537636, 0.023537636, 0.023537636, 0.023537636, 0.023537636]"
60,White House asks San Bernardino leaders to support Trump’s Supreme Court nominee https://t.co/4yZSfdGOD2,BarbaraBabcock,0,"['sbsun', 'trump’', 'white', 'san', 'leader', 'nomine', 'ask', 'suprem', 'court', 'bernardino']","[0.050728288, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284, 0.050728284]"
61,Hey fellow #resisters. Honest question: do you believe trump is stupid enough to actually say incriminating shit to… https://t.co/dxhdnSLrPg,labomski,-1,"['trump', 'resist', 'cameron', 'dxhdnslrpg', 'fellow', 'believ', 'hei', 'actual', 'kaski', 'question']","[0.08406525, 0.042241745, 0.042241745, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174]"
62,"Putin/Russia 10, Trump/U.S. 0
In baseball we call that a shutout or rout.  Trump shamed the greatest Nation on Eart… https://t.co/2kTF8PGJGS",IEPrince,1,"['trump', 'http', 'mayb', 'gui', 'putin', 'shame', 'eart…', 'basebal', 'shutout', 'rout']","[0.09956714, 0.05993318, 0.047463957, 0.04684247, 0.03845096, 0.03845096, 0.038450956, 0.038450956, 0.038450956, 0.038450956]"
63,"When this is all said and done, and America impeaches Trump before he fucks us over. @DavidCornDC and @Isikoff will… https://t.co/UCLxbSgB4F",labomski,0,"['comei', 'trump', 'america', 'jim', 'trust', 'protector', 'jimodai', 'said', 'will…', 'uclxbsgbf']","[0.08773461, 0.0877346, 0.04408555, 0.044085544, 0.044085544, 0.044085544, 0.044085544, 0.044085544, 0.044085544, 0.044085544]"
64,@CNN Comey can go screw himself TRUMP 2020,shanectech1,0,"['comei', 'agon', 'realdonaldtrump', 'screw', 'loser', 'grape', 'sour', 'sore', 'trump', 'cnn']","[0.042241745, 0.042241745, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174, 0.04224174]"
65,"Watch ""Obama to Republicans on Disavowing Trump: WHAT TOOK YOU SO LONG"" on YouTube
https://t.co/iB3X9w828X",IEPrince,-1,"['http', 'alivelshi', 'conting', 'question', 'until…', 'rsppadyq', 'payoff', 'line', 'hold', 'answer']","[0.07277901, 0.04549019, 0.04549019, 0.04549019, 0.04549019, 0.04549019, 0.04549019, 0.04549019, 0.04549019, 0.04549019]"
66,Yes. We want the fighter that Trump is. https://t.co/H40HkIYNUz,herblady0519,0,"['http', 'trump', 'swipe', 'american', 'goprussia…', 'amp', 'impeach', 'support', 'kaski', 'gpvjjtedrj']","[0.06521787, 0.063823245, 0.01646507, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066, 0.016465066]"
67,@OregonJOBS2 Ummm hmmm.... there's a reason he was one of the first business owners invited to Trump's presidential summit...,chasetherain,1,"['trump', 'http', 'putin', 'want', 'didn’t', 'summit', 'mhduyjlxqv', 'busi', 'interfer', 'hmmm']","[0.084432915, 0.04819826, 0.036673557, 0.0355104, 0.024219029, 0.024219029, 0.024219025, 0.024219025, 0.024219025, 0.024219025]"
68,@RealJamesWoods I don’t see how when asked Putin if he wanted trump to win and he said yes - I don’t get the math t… https://t.co/zAXMwmrFzI,mimsyboo_thea,1,"['http', 'trump', 'don’t', 'stori', 'georg', 'putin', 'said', 'ask', 'unuwnyn', 'spendin…']","[0.081549704, 0.081549704, 0.05445678, 0.027363857, 0.027363857, 0.027363857, 0.027363854, 0.027363854, 0.027363854, 0.027363854]"
69,Deep State is in a Panic Fearing Putin Shared with Trump Devastating Information Not Yet Reported -… https://t.co/gtuyEEHFqE,elconejotoo,-1,"['trump', 'http', 'jaketapp', 'state', 'deep', 'devast', 'fear', 'gtuyeehfq', 'problem', 'lindseygrahamsc']","[0.08732623, 0.051068265, 0.034798026, 0.034798026, 0.034798022, 0.034798022, 0.034798022, 0.034798022, 0.034798022, 0.034798022]"
70,RT @sbsun: Opinion: A careful reading of what Trump and Putin had to say in Helsinki https://t.co/PsQ6eu7A0J,mundoLatino5,-1,"['trump', 'http', 'help', 'nomine', 'iqqynnj', 'vital', 'poetofsci', 'opinion', 'laureldavilacpa', 'dpoc']","[0.0720172, 0.0720172, 0.036187753, 0.03618775, 0.03618775, 0.03618775, 0.03618775, 0.03618775, 0.03618775, 0.03618775]"
71,Opinion: A careful reading of what Trump and Putin had to say in Helsinki https://t.co/PsQ6eu7A0J,sbsun,-1,"['helsinki', 'read', 'trump', 'opinion', 'putin', 'http', 'care', 'psqeuaj', 'hhkiynuz', 'busi']","[0.06484716, 0.06400266, 0.06375744, 0.063185796, 0.062857874, 0.06063859, 0.058763314, 0.056173988, 0.0008675354, 0.0008675354]"
