,review,review header,sentiments,sentiment label
113,FAST PROMPT SERVICE,Fast/Quick/Speedy/Timely,0.0,Neutral
114,Everyone was helpful and nice,Friendly,0.6808,Very Positive
115,Everyone there is s niceo,Friendly,0.0,Neutral
116,Friendly professional,Friendly,0.4939,Positive
117,Convenient quality service,Convenient,0.0,Neutral
118,"The men at the store on Seminole Blvd, are great",Good customer service,0.6249,Very Positive
119,"Jiffy lube is in my neighborhood, which is convenient",Convenient,0.0,Neutral
120,Fast and good service,Fast/Quick/Speedy/Timely,0.4404,Positive
121,Friendly servicemen,Friendly,0.4939,Positive
122,It was fast and efficient service,Fast/Quick/Speedy/Timely,0.4215,Positive
123,I trust them,Other,0.5106,Very Positive
124,Very good service and polite employees,Good customer service,0.4927,Positive
125,Fast service and excellent staff,Fast/Quick/Speedy/Timely,0.5719,Very Positive
126,You have the oil that my car requires,Have equipment needed,0.0,Neutral
127,Because of the extras they do to your car,Value,0.0,Neutral
128,Friendly people  and knowledgeable,Friendly,0.4939,Positive
129,Not a long wait,Fast/Quick/Speedy/Timely,0.0,Neutral
130,Good service,Good customer service,0.4404,Positive
131,Fast and honest,Fast/Quick/Speedy/Timely,0.5106,Very Positive
132,quality service,Good customer service,0.0,Neutral
133,Professional friendly service,Professional,0.4939,Positive
134,Quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
135,Quick and courteous service,Friendly,0.5106,Very Positive
136,Very friendly and fast!,Fast/Quick/Speedy/Timely,0.5838,Very Positive
137,We like to be consistent and going to Jiffy Lube helps with that ,Convenient,0.6249,Very Positive
138,"Very good service, and happy workers",Good customer service,0.7841,Very Positive
139,I have been going there for 35 years,Good customer service,0.0,Neutral
140,The staff was excellent,Knowledgeable employees,0.5719,Very Positive
141,They were very courteous,Friendly,0.5563,Very Positive
142,I know what kind of service to expect from them,Good customer service,0.0,Neutral
143,Good communication,Good customer service,0.4404,Positive
144,The service gentleman was very polite and helpful when it came to my oil change and other recommended services,Friendly,0.5945,Very Positive
145,In depth explanation and speed of service,Knowledgeable employees,0.0,Neutral
146,Fast service and they are always friendly,Fast/Quick/Speedy/Timely,0.4939,Positive
147,"Fast service, great customer service",Fast/Quick/Speedy/Timely,0.6249,Very Positive
148,The staff was so courteous and friendly!,Friendly,0.84,Very Positive
149,The quality and care of service provided by the staff,Friendly,0.4939,Positive
150,Quick and high quality service,Fast/Quick/Speedy/Timely,0.0,Neutral
151,Courtesy,Friendly,0.3612,Positive
152,Promptness in service,Fast/Quick/Speedy/Timely,0.0,Neutral
153,Courteous and efficient service every time!,Friendly,0.75,Very Positive
154,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
155,The manager and lead tech went above and beyond to make sure I was fully informed with regards to suggested vehicle maintenance and pricing,Knowledgeable employees,0.3182,Positive
156,"The service was quick, complete and the service staff were polite and explained everything to me",Fast/Quick/Speedy/Timely,0.0,Neutral
157,Friendly and professional,Friendly,0.4939,Positive
158,Great and fast,Fast/Quick/Speedy/Timely,0.6249,Very Positive
159,Love the employees,Knowledgeable employees,0.6369,Very Positive
160,Quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
161,Very pro and quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
162,Personnel was terrific,Knowledgeable employees,0.4767,Positive
163,I love the great customer service jiffy lube promotes,Good customer service,0.8934,Very Positive
164,Great customer service,Good customer service,0.6249,Very Positive
165,Depends on whether I am in a location where one is conveniently located,Convenient,0.0,Neutral
166,Prompt courteous service,Friendly,0.5106,Very Positive
167,Excellent service very knowledgeable of their trade,Good customer service,0.5719,Very Positive
168,"Consistency in returning, no problems any time I have gone",Good customer service,-0.5994,Very Negative
169,This location in particular was so quick and polite,Friendly,0.0,Neutral
170,Efficient,Fast/Quick/Speedy/Timely,0.4215,Positive
171,Efficient,Fast/Quick/Speedy/Timely,0.4215,Positive
172,"Fast, excellent customer service",Fast/Quick/Speedy/Timely,0.5719,Very Positive
173,"Fast, friendly, professional",Professional,0.4939,Positive
174,The employees at Jiffy Lube know my car and are quite good at their job!,Fast/Quick/Speedy/Timely,0.54,Very Positive
175,The men there were so kind and more than eager to,Professional,0.7989,Very Positive
176,"THEY TELL ME EVERYTHING i NEED TO KNOW, SERVICE IS QUICK AND CONVENIENT TO MY HOUSE",Knowledgeable employees,0.0,Neutral
177,very courteous had oil changed in a timely manner   also advised me of engine filter that needed to be replaced,Friendly,0.5563,Very Positive
178,Good work done quickly and at a reasonable price,Good customer service,0.4404,Positive
179,Easy,Convenient,0.4404,Positive
180,Savings,Fair price,0.0,Neutral
181,They were fast and friendly,Friendly,0.4939,Positive
182,Was in and out in about 20 minutes on a weekend,Fast/Quick/Speedy/Timely,0.0,Neutral
183,Quick service in and out no problems,Fast/Quick/Speedy/Timely,-0.5994,Very Negative
184,Quick in and out,Fast/Quick/Speedy/Timely,0.0,Neutral
185,Quick and easy,Fast/Quick/Speedy/Timely,0.4404,Positive
186,The service is quick and the staff was efficient and very attentive!,Fast/Quick/Speedy/Timely,0.4753,Positive
187,Good job,Good customer service,0.4404,Positive
188,"Easy drive in, pay, drive out",Convenient,0.3612,Positive
189,The staff there is extremely friendly and courteous,Friendly,0.7939,Very Positive
190,The customer service was excellent! Knowledge and efficiency,Good customer service,0.7574,Very Positive
191,I may go to the Lexus dealer for my routine maintenance,Good customer service,0.0,Neutral
192,I have been coming to Jiffy Lube for years,Good customer service,0.0,Neutral
193,Because of the excellent service the staff provided very professional and friendly,Friendly,0.8,Very Positive
194,quick & easy,Convenient,0.4404,Positive
195,Great staff! They were incredibly knowledgeable and friendly,Knowledgeable employees,0.8341,Very Positive
196,"Easy, perfect location, very efficient",Convenient,0.8655,Very Positive
197,Great service,Good customer service,0.6249,Very Positive
198,"Everyone was welcoming, polite and professional",Friendly,0.4404,Positive
199,Wonderful customer service and finished in no time,Good customer service,0.3612,Positive
200,The staff at the Audubon Jiffy Lube are the best!,Friendly,0.6696,Very Positive
201,I can always show up without an appointment and be assisted (car serviced) within minutes of my arrival,Good customer service,0.0,Neutral
202,The guys there are so nice and honest with their feedback ! I've always received great service at any jiffy lube I've been to,Knowledgeable employees,0.9113,Very Positive
203,excellent customer service!,Good customer service,0.6114,Very Positive
204,manager was excellent,Friendly,0.5719,Very Positive
205,"Very fast ,clean , and efficient",Fast/Quick/Speedy/Timely,0.6983,Very Positive
206,"They are respectful, fast, and honest",Responsible,0.743,Very Positive
207,Quick service,Good customer service,0.0,Neutral
208,"Friendly , Fast service",Friendly,0.4939,Positive
209,Great people,Friendly,0.6249,Very Positive
210,"Good, fast swrvice",Good customer service,0.4404,Positive
211,It's convenient and they have my records of oil changes,Convenient,0.0,Neutral
212,"Fast, friendly service!",Fast/Quick/Speedy/Timely,0.5411,Very Positive
213,Top services,Good customer service,0.2023,Positive
214,"Time, no apt",Fast/Quick/Speedy/Timely,-0.296,Negative
215,I Have Been Going There Since I Got My Car!!! Love The Service,Good customer service,0.7249,Very Positive
216,The job less then 30 min: and the inside of the car was cleaned,Fast/Quick/Speedy/Timely,0.0,Neutral
217,Quick and professional,Fast/Quick/Speedy/Timely,0.0,Neutral
218,"It's just very convenient ,",Convenient,0.0,Neutral
219,Consistent friendly service,Friendly,0.4939,Positive
220,Courteous and prompt service,Friendly,0.5106,Very Positive
221,Very nice also seemed very knowledgeable,Knowledgeable employees,0.4754,Positive
222,fast good work,Fast/Quick/Speedy/Timely,0.4404,Positive
223,Fast and efficient!,Fast/Quick/Speedy/Timely,0.4753,Positive
224,"All staff members were courteous, professional and informative",Friendly,0.5106,Very Positive
225,Wonderful service,Good customer service,0.5719,Very Positive
226,I have been a loyal Jiffy Lube customer for over 20 yrs,Good customer service,0.4767,Positive
227,"Speed, efficiency, and great customer service",Fast/Quick/Speedy/Timely,0.765,Very Positive
228,"Quick, Pleasant service",Good customer service,0.5106,Very Positive
229,I can always count on quick service that doesn't take up half my day,Fast/Quick/Speedy/Timely,0.0,Neutral
230,Quick and friendly service,Fast/Quick/Speedy/Timely,0.4939,Positive
231,love how friendly the staff was,Friendly,0.8126,Very Positive
232,It's convenient and you keep a profile of the work done on the car,Convenient,0.0,Neutral
233,The location manager (I think his name is Albert) is always very nice and keeps the conversation going to make the wait time go by more quickly,Friendly,0.4754,Positive
234,Good fast service,Good customer service,0.4404,Positive
235,They always make me and my car feel special,Good customer service,0.4019,Positive
236,Quick and seamless service,Good customer service,0.0,Neutral
237,I can rely on friendly service and its quick,Friendly,0.4939,Positive
238,Immediately welcomed when I pulled up,Friendly,0.34,Positive
239,Fast and easy,Fast/Quick/Speedy/Timely,0.4404,Positive
240,"Everyone is friendly, courteous and do not pressure you into purchasing repairs they may have mentioned needed",Friendly,0.812,Very Positive
241,People very nice and work done quickly and right,Friendly,0.4754,Positive
242,It was great - I will recommend you and also bring my other car,Good customer service,0.765,Very Positive
243,They were very informative and went above and beyond for my oil change!,Knowledgeable employees,0.0,Neutral
244,Great service!  John was awesome!,Good customer service,0.8684,Very Positive
245,Fast friendly service techs,Friendly,0.4939,Positive
246,Professionalism shown by everyone on the Team at my location,Professional,0.0,Neutral
247,"Everything can be checked, rotates or replaced at one place",Have equipment needed,0.0,Neutral
248,price,Fair price,0.0,Neutral
249,Great customer service,Good customer service,0.6249,Very Positive
250,Staff was very friendly and courteous throughout the time of having my oil changed,Friendly,0.7939,Very Positive
251,"quick, friendly, thorough",Friendly,0.4939,Positive
252,for the convenience  and appreciate that the service tech didn't press for the upsell,Convenient,0.4019,Positive
253,Excellent service,Good customer service,0.5719,Very Positive
254,They were so quick to get the job done,Fast/Quick/Speedy/Timely,0.0,Neutral
255,The workers were friendly and helpful from the moment I pulled around back to begin my Oil Change,Friendly,0.7184,Very Positive
256,Quick and easy service,Fast/Quick/Speedy/Timely,0.4404,Positive
257,Quick and easy service,Fast/Quick/Speedy/Timely,0.4404,Positive
258,Jerome Holbrook always gets my vehicle in and out fast,Fast/Quick/Speedy/Timely,0.0,Neutral
259,Ease of service,Convenient,0.3612,Positive
260,Quick in and out service,Fast/Quick/Speedy/Timely,0.0,Neutral
261,"Quick, friendly service",Friendly,0.4939,Positive
262,it's always quick and easy and I like how they check the fluids and do a quick clean up,Fast/Quick/Speedy/Timely,0.7964,Very Positive
263,"Staff was courteous,  professional and knowledgable",Friendly,0.5106,Very Positive
264,Tiempo de espera,Friendly,0.0,Neutral
265,In and out quick,Fast/Quick/Speedy/Timely,0.0,Neutral
266,Christopher and all the guys that work there are sweethearts they take the time to talk to you to get to know you personally and to assure you that your car will be done properly,Friendly,0.7351,Very Positive
267,It is quick and easy,Fast/Quick/Speedy/Timely,0.4404,Positive
268,Pleased with the service,Good customer service,0.4404,Positive
269,Good service,Good customer service,0.4404,Positive
270,Friendly and knowledgeable staff,Friendly,0.4939,Positive
271,Chris assisted me from starting to end,Responsible,0.0,Neutral
272,Great job keep up the good work,Good customer service,0.7906,Very Positive
273,"The staff was knowledgeable, helpful, and friendly, and did a great job",Knowledgeable employees,0.8779,Very Positive
274,"The guys give nice service they check your car and tell you what need to do , good customer service ",Fast/Quick/Speedy/Timely,0.6908,Very Positive
275,Very quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
276,Always friendly and fast!,Friendly,0.5411,Very Positive
277,Polite and quick service; records of the maintenance on my car,Fast/Quick/Speedy/Timely,0.0,Neutral
278,The manager oversaw my vehicle and the technicians that where working on it,Responsible,0.0,Neutral
279,The oil change was done fast,Fast/Quick/Speedy/Timely,0.0,Neutral
280,"Quick, courteous, friendly service every time I go",Friendly,0.7579,Very Positive
281,"Fast, efficient, hours that work with my schedule, folks are polite",Fast/Quick/Speedy/Timely,0.4215,Positive
282,"Close, convenient and the guys were super courteous and professional",Convenient,0.802,Very Positive
283,The service is outstanding!,Fast/Quick/Speedy/Timely,0.6476,Very Positive
284,the ease of the service,Convenient,0.3612,Positive
285,"Very courteous, and efficient crew",Friendly,0.7688,Very Positive
286,I've been having my oil changed at this Jiffy Lube for a couple of years now and every time I feel like a valued customer,Good customer service,0.6597,Very Positive
287,Fast quality service,Fast/Quick/Speedy/Timely,0.0,Neutral
288,Efficient and business like,Fast/Quick/Speedy/Timely,0.6486,Very Positive
289,Friendly helpful staff,Friendly,0.7184,Very Positive
290,Convenient and quick,Convenient,0.0,Neutral
291,They made me feel very comfortable,Friendly,0.5563,Very Positive
292,The guys were great,Friendly,0.6249,Very Positive
293,"been using location for a few years and they are always quick, courteous and provide good service",Friendly,0.7351,Very Positive
294,this is the best location in my area,Good customer service,0.6369,Very Positive
295,"I received fast (within 20 minutes), thorough and very courteous service",Fast/Quick/Speedy/Timely,0.5563,Very Positive
296,"l like the service, the quickness and the honesty with which the work is done",Fast/Quick/Speedy/Timely,0.6908,Very Positive
297,"Friendly, prompt reception by tech when pulled up to door",Friendly,0.4939,Positive
298,Great service,Good customer service,0.6249,Very Positive
299,Good quick quality service,Good customer service,0.4404,Positive
300,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
301,"Fast and effective, unsure about price comparison",Fast/Quick/Speedy/Timely,0.2732,Positive
302,Convenience,Convenient,0.0,Neutral
303,The fat blonde guy at the 29 Charlottesville jiffy lube has fucking awesome customer service skills,Good customer service,0.659,Very Positive
304,The staff,Other,0.0,Neutral
305,Specifically I will go to this location because of trust service and friendliness,Friendly,0.743,Very Positive
306,Very friendly and fun people to deal with!??,Friendly,0.8275,Very Positive
307,A great experience! Brandon was wonderful to work with!,Good customer service,0.855,Very Positive
308,It is convenient to my Saturday routine,Convenient,0.0,Neutral
309,"Efficient, proffesional, no high pressure sales",Professional,-0.1531,Negative
310,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
311,Treat you nice and they are quick,Friendly,0.6705,Very Positive
312,The staff was professional efficient honest and helpful,Professional,0.836,Very Positive
313,Wonderful customer services,Good customer service,0.5719,Very Positive
314,The staff is amazing ! However this facility needs to be remodeled asap ,Friendly,0.6239,Very Positive
315,Shprt wait time,Good customer service,0.0,Neutral
316,They did a great job and did it fast,Fast/Quick/Speedy/Timely,0.6249,Very Positive
317,I have started going to the same store for every oil change and am greeted by name,Good customer service,0.2732,Positive
318,No complaints,Good customer service,-0.5994,Very Negative
319,Great  service,Good customer service,0.6249,Very Positive
320,The guy that took care of me was very point on he knew what he was doing talking about new his computer screen,Knowledgeable employees,0.4939,Positive
321,"Got a great oil change, but the tire rotation was a mess",Good customer service,-0.1779,Negative
322,The service was fast and the technician offered me other relevant options without pressuring me to buy anything,Fast/Quick/Speedy/Timely,0.2584,Positive
323,Good service,Good customer service,0.4404,Positive
324,Efficient,Good customer service,0.4215,Positive
325,Quick and efficient,Fast/Quick/Speedy/Timely,0.4215,Positive
326,They had very friendly and fast service,Friendly,0.5413,Very Positive
327,The quality of service,Good customer service,0.0,Neutral
328,Helpful and very polite,Friendly,0.4215,Positive
329,The speed of service,Fast/Quick/Speedy/Timely,0.0,Neutral
330,Good service,Good customer service,0.4404,Positive
331,They are consistently fast,Fast/Quick/Speedy/Timely,0.0,Neutral
332,Quick,Fast/Quick/Speedy/Timely,0.0,Neutral
333,Definitly would return,Good customer service,0.0,Neutral
334,You get in and out within 15 minutes,Fast/Quick/Speedy/Timely,0.0,Neutral
335,Good service,Good customer service,0.4404,Positive
336,Customer service was excellent,Good customer service,0.5719,Very Positive
337,I like the staff,Friendly,0.3612,Positive
338,Service was decent,Good customer service,0.0,Neutral
339,The manager Yuri have such great customer service,Good customer service,0.6249,Very Positive
340,The oil change is good but the service is minimal,Good customer service,0.2382,Positive
341,GREAT FRIENDLY SERVICE BUT NOT CLOSE TO ME,Friendly,0.5647,Very Positive
342,Yes,Good customer service,0.4019,Positive
343,always satisfied with the service,Good customer service,0.4215,Positive
344,Great customer service,Good customer service,0.6249,Very Positive
345,Prompt and courteous service every time I am there,Good customer service,0.5106,Very Positive
346,Fast quick efficient service,Good customer service,0.4215,Positive
347,The crew were so polite and I was in and out in 10 minutes,Friendly,0.0,Neutral
348,Everyone very nice,Friendly,0.4754,Positive
349,fast and courteous,Fast/Quick/Speedy/Timely,0.5106,Very Positive
350,"Fast, courteous, polite",Fast/Quick/Speedy/Timely,0.5106,Very Positive
351,Fast and quality service,Fast/Quick/Speedy/Timely,0.0,Neutral
352,Care used to replace my oil filter,Good customer service,0.4939,Positive
353,Fast and efficient,Fast/Quick/Speedy/Timely,0.4215,Positive
354,the great customer service from the employees,Good customer service,0.6249,Very Positive
355,The two guys there were extremely nice and did not try to sell me anything else other than the standard oil change,Friendly,0.4754,Positive
356,Great customer service!,Good customer service,0.6588,Very Positive
357,I was greeted very warmly,Friendly,0.624,Very Positive
358,So far nothing has gone wrong and the time it took to complete was within my lunch break at work,Good customer service,0.3724,Positive
359,People we friendly and service was great,Friendly,0.8074,Very Positive
360,excellent service all around,Good customer service,0.5719,Very Positive
361,Customer service,Good customer service,0.0,Neutral
362,Employees very pleasant and explain what was done and completed in a short time,Friendly,0.5563,Very Positive
363,How nice and helpful  the employees were,Friendly,0.6808,Very Positive
364,THE SERVICE WAS SWIFT AND THE EMPLOYEES HELPFUL,Responsible,0.5574,Very Positive
365,"Good service, top off service",Good customer service,0.5719,Very Positive
366,Not sure what other maintenance jiffy lube does,Friendly,-0.2411,Negative
367,"Friendly, thorough and convenient plus coupons",Friendly,0.4939,Positive
368,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
369,I have always received prompt and courteous service,Fast/Quick/Speedy/Timely,0.5106,Very Positive
370,I find that my visits to Jiffy Lube are always pleasant,Friendly,0.5106,Very Positive
371,fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
372,Quick service,Fast/Quick/Speedy/Timely,0.0,Neutral
373,I feel the dealer ship does a better inspection of the overall car,Good customer service,0.4404,Positive
374,The workers take great care of my car and they are very professional,Professional,0.8074,Very Positive
375,The staff did a great job,Good customer service,0.6249,Very Positive
376,Service is great and very efficient,Good customer service,0.8016,Very Positive
377,Did not wait long and people were friendly,Friendly,0.4939,Positive
378,The servicemen were respectable and polite,Friendly,0.4404,Positive
379,"Friendly, courteous, and quick service!",Friendly,0.7777,Very Positive
380,Everyone was so nice and efficiant,Friendly,0.5598,Very Positive
381,Good service,Good customer service,0.4404,Positive
382,Friendly staff and efficient service,Friendly,0.7184,Very Positive
383,I really like the tracking of all services performed on my car in one place,Good customer service,0.4201,Positive
384,Love the service and the people are very courtious,Friendly,0.6369,Very Positive
385,Price,Fair price,0.0,Neutral
386,less on the up sale,Good customer service,0.0,Neutral
387,"FriendLyn, courteous staff",Friendly,0.5106,Very Positive
388,speed,Fast/Quick/Speedy/Timely,0.0,Neutral
389,Quick service at good value,Good customer service,0.6486,Very Positive
390,Excellent,Good customer service,0.5719,Very Positive
391,I usually get plenty of coupons via mail and email and I faithfully use them for each visit,Convenient,0.4215,Positive
392,The professional service given not only to me but others that came after me,Professional,0.0,Neutral
393,The staff,Friendly,0.0,Neutral
394,Fast service and professional ,Fast/Quick/Speedy/Timely,0.0,Neutral
395,"Nice men, close to my job, easy location",Friendly,0.6908,Very Positive
396,It's very convenient to my work and the service has been quick and efficient both times I've been there,Convenient,0.4215,Positive
397,I have a regular service shop for mechanical work,Convenient,0.0,Neutral
398,Timing to complete service,Fast/Quick/Speedy/Timely,0.0,Neutral
399,Great Service,Good customer service,0.6249,Very Positive
400,I like the top off plan,Convenient,0.5106,Very Positive
401,"After checking my lights they never switched the lights back to ""auto""",Good customer service,0.0,Neutral
402,Fast and friendly service,Fast/Quick/Speedy/Timely,0.4939,Positive
403,Eddie was great!!!,Friendly,0.7163,Very Positive
404,Everyone was so nice and kept me informed with the issues on my car as well as very fast,Friendly,0.6924,Very Positive
405,It's always open which is very convenient,Convenient,0.0,Neutral
406,Prompt service,Fast/Quick/Speedy/Timely,0.0,Neutral
407,"Experience was good,but have problem with my car start next day because battery cable was not tite so we have to call trpel A for jump start very dies appoints about",Good customer service,-0.4019,Negative
408,"Friendly, efficient staff",Friendly,0.7184,Very Positive
409,Great employees,Knowledgeable employees,0.6249,Very Positive
